9 ==> 14 #SUP: 250815 #CONF: 0.8620405217301644
9 ==> 16 #SUP: 288112 #CONF: 0.9902287295286213
9 ==> 134 #SUP: 279411 #CONF: 0.9603237614064031
13 ==> 16 #SUP: 240453 #CONF: 1.0
13 ==> 134 #SUP: 230836 #CONF: 0.9600046578749277
14 ==> 16 #SUP: 1203841 #CONF: 1.0
25 ==> 14 #SUP: 603338 #CONF: 0.8685008687340666
36 ==> 14 #SUP: 268252 #CONF: 0.8615963744166402
40 ==> 14 #SUP: 857302 #CONF: 0.8699864017373303
14 ==> 43 #SUP: 1075859 #CONF: 0.8936886183474396
46 ==> 14 #SUP: 266390 #CONF: 0.8805786121110549
50 ==> 14 #SUP: 292788 #CONF: 0.8853262052783086
52 ==> 14 #SUP: 249522 #CONF: 0.8963745832854351
119 ==> 14 #SUP: 321517 #CONF: 0.9211333782177084
127 ==> 14 #SUP: 237222 #CONF: 0.8668683812405447
128 ==> 14 #SUP: 251340 #CONF: 0.8901150271985494
14 ==> 134 #SUP: 1169411 #CONF: 0.9713998775585813
138 ==> 14 #SUP: 743455 #CONF: 0.9315988381563878
149 ==> 14 #SUP: 252286 #CONF: 0.9330345090294497
150 ==> 14 #SUP: 303980 #CONF: 0.9749166936603796
19 ==> 16 #SUP: 667604 #CONF: 1.0
21 ==> 16 #SUP: 278231 #CONF: 1.0
25 ==> 16 #SUP: 691085 #CONF: 0.9948120669824915
26 ==> 16 #SUP: 753209 #CONF: 0.9658135330247349
33 ==> 16 #SUP: 301118 #CONF: 0.9646734690608532
34 ==> 16 #SUP: 469298 #CONF: 0.9726947885058614
35 ==> 16 #SUP: 379117 #CONF: 0.959214344810835
36 ==> 16 #SUP: 307210 #CONF: 0.986725251571418
38 ==> 16 #SUP: 303906 #CONF: 0.989731615096773
39 ==> 16 #SUP: 240119 #CONF: 0.992132979097028
40 ==> 16 #SUP: 985420 #CONF: 1.0
41 ==> 16 #SUP: 458874 #CONF: 1.0
43 ==> 16 #SUP: 1267347 #CONF: 0.9798440874056858
16 ==> 43 #SUP: 1267347 #CONF: 0.8774854704097642
46 ==> 16 #SUP: 302517 #CONF: 1.0
