itemset support
"AGER20_54 ==> ASCEN_2" " 250815 #CONF: 0.8620405217301644"
"AGER20_54 ==> CATL_1" " 288112 #CONF: 0.9902287295286213"
"AGER20_54 ==> SANI_2" " 279411 #CONF: 0.9603237614064031"
"ASCEN_1 ==> CATL_1" " 240453 #CONF: 1.0"
"ASCEN_1 ==> SANI_2" " 230836 #CONF: 0.9600046578749277"
"ASCEN_2 ==> CATL_1" " 1203841 #CONF: 1.0"
"COUPLE_1 ==> ASCEN_2" " 603338 #CONF: 0.8685008687340666"
"DIPL_15_B ==> ASCEN_2" " 268252 #CONF: 0.8615963744166402"
"GARL_1 ==> ASCEN_2" " 857302 #CONF: 0.8699864017373303"
"ASCEN_2 ==> INAT_11" " 1075859 #CONF: 0.8936886183474396"
"MODV_11 ==> ASCEN_2" " 266390 #CONF: 0.8805786121110549"
"MODV_32 ==> ASCEN_2" " 292788 #CONF: 0.8853262052783086"
"MODV_40 ==> ASCEN_2" " 249522 #CONF: 0.8963745832854351"
"NBPI_5 ==> ASCEN_2" " 321517 #CONF: 0.9211333782177084"
"NPERR_3 ==> ASCEN_2" " 237222 #CONF: 0.8668683812405447"
"NPERR_4 ==> ASCEN_2" " 251340 #CONF: 0.8901150271985494"
"ASCEN_2 ==> SANI_2" " 1169411 #CONF: 0.9713998775585813"
"STOCD_10 ==> ASCEN_2" " 743455 #CONF: 0.9315988381563878"
"SURF_6 ==> ASCEN_2" " 252286 #CONF: 0.9330345090294497"
"SURF_7 ==> ASCEN_2" " 303980 #CONF: 0.9749166936603796"
"CMBL_2 ==> CATL_1" " 667604 #CONF: 1.0"
"CMBL_4 ==> CATL_1" " 278231 #CONF: 1.0"
"COUPLE_1 ==> CATL_1" " 691085 #CONF: 0.9948120669824915"
"COUPLE_2 ==> CATL_1" " 753209 #CONF: 0.9658135330247349"
"CS1_7 ==> CATL_1" " 301118 #CONF: 0.9646734690608532"
"CS1_8 ==> CATL_1" " 469298 #CONF: 0.9726947885058614"
"DIPL_15_A ==> CATL_1" " 379117 #CONF: 0.959214344810835"
"DIPL_15_B ==> CATL_1" " 307210 #CONF: 0.986725251571418"
"DIPL_15_D ==> CATL_1" " 303906 #CONF: 0.989731615096773"
"DIPL_15_Z ==> CATL_1" " 240119 #CONF: 0.992132979097028"
"GARL_1 ==> CATL_1" " 985420 #CONF: 1.0"
"GARL_2 ==> CATL_1" " 458874 #CONF: 1.0"
"INAT_11 ==> CATL_1" " 1267347 #CONF: 0.9798440874056858"
"CATL_1 ==> INAT_11" " 1267347 #CONF: 0.8774854704097642"
"MODV_11 ==> CATL_1" " 302517 #CONF: 1.0"
"MODV_32 ==> CATL_1" " 330712 #CONF: 1.0"
"MODV_40 ==> CATL_1" " 278368 #CONF: 1.0"
"NA38_ZZ ==> CATL_1" " 863546 #CONF: 0.9721234390285363"
"NBPI_3 ==> CATL_1" " 260481 #CONF: 1.0"
"NBPI_4 ==> CATL_1" " 369621 #CONF: 1.0"
"NBPI_5 ==> CATL_1" " 349045 #CONF: 1.0"
"NPERR_1 ==> CATL_1" " 259113 #CONF: 1.0"
"NPERR_2 ==> CATL_1" " 430122 #CONF: 1.0"
"NPERR_3 ==> CATL_1" " 273654 #CONF: 1.0"
"NPERR_4 ==> CATL_1" " 282368 #CONF: 1.0"
"SANI_2 ==> CATL_1" " 1400247 #CONF: 1.0"
"CATL_1 ==> SANI_2" " 1400247 #CONF: 0.9695027466706917"
"SEXE_1 ==> CATL_1" " 699291 #CONF: 0.9782044897548092"
"SEXE_2 ==> CATL_1" " 745003 #CONF: 0.9806709868669596"
"STOCD_10 ==> CATL_1" " 798042 #CONF: 1.0"
"STOCD_21 ==> CATL_1" " 315680 #CONF: 1.0"
"STOCD_22 ==> CATL_1" " 275480 #CONF: 1.0"
"SURF_4 ==> CATL_1" " 293805 #CONF: 1.0"
"SURF_5 ==> CATL_1" " 364384 #CONF: 1.0"
"SURF_6 ==> CATL_1" " 270393 #CONF: 1.0"
"SURF_7 ==> CATL_1" " 311801 #CONF: 1.0"
"TACT_11 ==> CATL_1" " 580748 #CONF: 0.9906149253731343"
"TACT_21 ==> CATL_1" " 302998 #CONF: 0.964227864778083"
"TACT_23 ==> CATL_1" " 240119 #CONF: 0.992132979097028"
"CMBL_2 ==> INAT_11" " 575560 #CONF: 0.862127848245367"
