itemset support
"CMBL_2 ==> SANI_2" " 647846 #CONF: 0.9704046111167698"
"CMBL_4 ==> INAT_11" " 249216 #CONF: 0.8957161495304261"
"CMBL_4 ==> SANI_2" " 270122 #CONF: 0.9708551527328012"
"COUPLE_1 ==> INAT_11" " 591511 #CONF: 0.851475984217398"
"MODV_32 ==> COUPLE_1" " 328805 #CONF: 0.9942336534507366"
"MODV_40 ==> COUPLE_1" " 276485 #CONF: 0.993235573054374"
"COUPLE_1 ==> SANI_2" " 673290 #CONF: 0.9691962878352759"
"CS1_8 ==> COUPLE_2" " 413249 #CONF: 0.856524316437016"
"DIPL_15_Z ==> COUPLE_2" " 242023 #CONF: 1.0"
"COUPLE_2 ==> INAT_11" " 701906 #CONF: 0.9000294920948363"
"MODV_11 ==> COUPLE_2" " 302022 #CONF: 0.9983637283194002"
"NPERR_1 ==> COUPLE_2" " 249484 #CONF: 0.9628386070942021"
"COUPLE_2 ==> SANI_2" " 726957 #CONF: 0.9321515124315591"
"TACT_23 ==> COUPLE_2" " 242023 #CONF: 1.0"
"CS1_7 ==> INAT_11" " 279969 #CONF: 0.8969197007800862"
"CS1_7 ==> NA38_ZZ" " 312145 #CONF: 1.0"
"CS1_7 ==> SANI_2" " 292826 #CONF: 0.9381088917009723"
"TACT_21 ==> CS1_7" " 312145 #CONF: 0.9933362822564991"
"CS1_7 ==> TACT_21" " 312145 #CONF: 1.0"
"DIPL_15_Z ==> CS1_8" " 242023 #CONF: 1.0"
"CS1_8 ==> INAT_11" " 417820 #CONF: 0.8659984413603277"
"MODV_11 ==> CS1_8" " 261412 #CONF: 0.8641233385231243"
"CS1_8 ==> NA38_ZZ" " 482472 #CONF: 1.0"
"CS1_8 ==> SANI_2" " 452550 #CONF: 0.9379818932497637"
"TACT_23 ==> CS1_8" " 242023 #CONF: 1.0"
"DIPL_15_A ==> SANI_2" " 364077 #CONF: 0.9211612273142443"
"DIPL_15_B ==> INAT_11" " 283551 #CONF: 0.9107351056551777"
"DIPL_15_B ==> SANI_2" " 297995 #CONF: 0.9571276694834957"
"DIPL_15_D ==> INAT_11" " 270202 #CONF: 0.879967693505157"
"DIPL_15_D ==> SANI_2" " 297562 #CONF: 0.9690710905721702"
"DIPL_15_Z ==> INAT_11" " 222620 #CONF: 0.9198299335187151"
"DIPL_15_Z ==> NA38_ZZ" " 242023 #CONF: 1.0"
"DIPL_15_Z ==> SANI_2" " 232308 #CONF: 0.9598591869367787"
"TACT_23 ==> DIPL_15_Z" " 242023 #CONF: 1.0"
"DIPL_15_Z ==> TACT_23" " 242023 #CONF: 1.0"
"GARL_1 ==> INAT_11" " 892894 #CONF: 0.9061050110612734"
"GARL_1 ==> SANI_2" " 963323 #CONF: 0.9775760589393355"
"SURF_7 ==> GARL_1" " 271844 #CONF: 0.8718509562188703"
"GARL_2 ==> SANI_2" " 436924 #CONF: 0.952165518203254"
"MODV_11 ==> INAT_11" " 278562 #CONF: 0.9208143674570355"
"MODV_40 ==> INAT_11" " 247862 #CONF: 0.8904112541671456"
"NA38_ZZ ==> INAT_11" " 772824 #CONF: 0.8699945627028433"
"NBPI_4 ==> INAT_11" " 317893 #CONF: 0.8600512416772856"
"NBPI_5 ==> INAT_11" " 313940 #CONF: 0.8994255754988612"
"NPERR_1 ==> INAT_11" " 232412 #CONF: 0.8969522949446767"
"NPERR_2 ==> INAT_11" " 384555 #CONF: 0.8940602898712459"
"NPERR_3 ==> INAT_11" " 242897 #CONF: 0.8876062473049909"
"NPERR_4 ==> INAT_11" " 249774 #CONF: 0.8845690729827742"
"SANI_2 ==> INAT_11" " 1234826 #CONF: 0.881862985601826"
"INAT_11 ==> SANI_2" " 1234826 #CONF: 0.9547006108625448"
"SEXE_1 ==> INAT_11" " 626612 #CONF: 0.8765373381528442"
"SEXE_2 ==> INAT_11" " 666805 #CONF: 0.8777364888434316"
"STOCD_10 ==> INAT_11" " 732594 #CONF: 0.9179892787597645"
"STOCD_21 ==> INAT_11" " 277002 #CONF: 0.877477192093259"
"SURF_5 ==> INAT_11" " 319649 #CONF: 0.8772311627294282"
"SURF_6 ==> INAT_11" " 246581 #CONF: 0.911935590048559"
"SURF_7 ==> INAT_11" " 289154 #CONF: 0.9273671348071366"
"TACT_11 ==> INAT_11" " 520593 #CONF: 0.8880051172707889"
"TACT_21 ==> INAT_11" " 281443 #CONF: 0.8956335782636783"
"TACT_23 ==> INAT_11" " 222620 #CONF: 0.9198299335187151"
"MODV_11 ==> NA38_ZZ" " 271675 #CONF: 0.8980487047008928"
"MODV_11 ==> SANI_2" " 293318 #CONF: 0.9695917915356823"
"MODV_32 ==> SANI_2" " 321684 #CONF: 0.9727013232056896"
"MODV_40 ==> NPERR_2" " 270568 #CONF: 0.971979537877917"
"MODV_40 ==> SANI_2" " 272116 #CONF: 0.9775405218990688"
"NA38_ZZ ==> SANI_2" " 834217 #CONF: 0.9391067747821985"
"TACT_21 ==> NA38_ZZ" " 314239 #CONF: 1.0"
"TACT_23 ==> NA38_ZZ" " 242023 #CONF: 1.0"
"NBPI_3 ==> SANI_2" " 249733 #CONF: 0.9587378733957563"
"NBPI_4 ==> SANI_2" " 356532 #CONF: 0.9645880510035956"
"NBPI_5 ==> SANI_2" " 340632 #CONF: 0.9758970906330129"
"NPERR_1 ==> SANI_2" " 249415 #CONF: 0.9625723140097178"
"NPERR_2 ==> SANI_2" " 419040 #CONF: 0.9742352169849484"
"NPERR_3 ==> SANI_2" " 266319 #CONF: 0.9731960797211077"
"NPERR_4 ==> SANI_2" " 275092 #CONF: 0.9742322076155938"
"SEXE_1 ==> SANI_2" " 676919 #CONF: 0.946909376783536"
"SEXE_2 ==> SANI_2" " 723328 #CONF: 0.9521394995570545"
"STOCD_10 ==> SANI_2" " 780912 #CONF: 0.9785349643251859"
"STOCD_21 ==> SANI_2" " 304802 #CONF: 0.9655410542321338"
"STOCD_22 ==> SANI_2" " 262282 #CONF: 0.9520908958908088"
"SURF_4 ==> SANI_2" " 281150 #CONF: 0.9569272136280866"
"SURF_5 ==> SANI_2" " 352965 #CONF: 0.9686621805567752"
"SURF_6 ==> SANI_2" " 264684 #CONF: 0.9788862877367387"
"SURF_7 ==> SANI_2" " 307795 #CONF: 0.9871520617316815"
"TACT_11 ==> SANI_2" " 566030 #CONF: 0.9655095948827292"
"TACT_21 ==> SANI_2" " 294638 #CONF: 0.9376239104630552"
"TACT_23 ==> SANI_2" " 232308 #CONF: 0.9598591869367787"
"SURF_7 ==> STOCD_10" " 277670 #CONF: 0.8905359508147825"
"AGER20_54 CATL_1 ==> ASCEN_2" " 250815 #CONF: 0.8705468706614095"
"AGER20_54 ASCEN_2 ==> CATL_1" " 250815 #CONF: 1.0"
"AGER20_54 ==> ASCEN_2 CATL_1" " 250815 #CONF: 0.8620405217301644"
"AGER20_54 SANI_2 ==> ASCEN_2" " 243802 #CONF: 0.8725569143662919"
"AGER20_54 ASCEN_2 ==> SANI_2" " 243802 #CONF: 0.9720391523632956"
"AGER20_54 INAT_11 ==> CATL_1" " 244618 #CONF: 0.9900716798005431"
"AGER20_54 SANI_2 ==> CATL_1" " 279411 #CONF: 1.0"
"AGER20_54 CATL_1 ==> SANI_2" " 279411 #CONF: 0.969799938912645"
"AGER20_54 ==> CATL_1 SANI_2" " 279411 #CONF: 0.9603237614064031"
"AGER20_54 TACT_11 ==> CATL_1" " 229906 #CONF: 0.9963898604050464"
"AGER20_54 SANI_2 ==> INAT_11" " 238723 #CONF: 0.8543793909330699"
"AGER20_54 INAT_11 ==> SANI_2" " 238723 #CONF: 0.9662121414492191"
"AGER20_54 TACT_11 ==> SANI_2" " 224057 #CONF: 0.9710408730210324"
"ASCEN_1 SANI_2 ==> CATL_1" " 230836 #CONF: 1.0"
"ASCEN_1 CATL_1 ==> SANI_2" " 230836 #CONF: 0.9600046578749277"
"ASCEN_1 ==> CATL_1 SANI_2" " 230836 #CONF: 0.9600046578749277"
"ASCEN_2 CMBL_2 ==> CATL_1" " 548828 #CONF: 1.0"
"ASCEN_2 CMBL_4 ==> CATL_1" " 229977 #CONF: 1.0"
"CATL_1 COUPLE_1 ==> ASCEN_2" " 603338 #CONF: 0.8730300903651504"
"ASCEN_2 COUPLE_1 ==> CATL_1" " 603338 #CONF: 1.0"
"COUPLE_1 ==> ASCEN_2 CATL_1" " 603338 #CONF: 0.8685008687340666"
"ASCEN_2 COUPLE_2 ==> CATL_1" " 600503 #CONF: 1.0"
"ASCEN_2 CS1_7 ==> CATL_1" " 254625 #CONF: 1.0"
"ASCEN_2 CS1_8 ==> CATL_1" " 382805 #CONF: 1.0"
"ASCEN_2 DIPL_15_A ==> CATL_1" " 317976 #CONF: 1.0"
"CATL_1 DIPL_15_B ==> ASCEN_2" " 268252 #CONF: 0.8731877217538492"
"ASCEN_2 DIPL_15_B ==> CATL_1" " 268252 #CONF: 1.0"
"DIPL_15_B ==> ASCEN_2 CATL_1" " 268252 #CONF: 0.8615963744166402"
"ASCEN_2 DIPL_15_D ==> CATL_1" " 242003 #CONF: 1.0"
"CATL_1 GARL_1 ==> ASCEN_2" " 857302 #CONF: 0.8699864017373303"
"ASCEN_2 GARL_1 ==> CATL_1" " 857302 #CONF: 1.0"
"GARL_1 ==> ASCEN_2 CATL_1" " 857302 #CONF: 0.8699864017373303"
"ASCEN_2 GARL_2 ==> CATL_1" " 346539 #CONF: 1.0"
"ASCEN_2 INAT_11 ==> CATL_1" " 1075859 #CONF: 1.0"
"ASCEN_2 CATL_1 ==> INAT_11" " 1075859 #CONF: 0.8936886183474396"
"ASCEN_2 ==> CATL_1 INAT_11" " 1075859 #CONF: 0.8936886183474396"
"CATL_1 MODV_11 ==> ASCEN_2" " 266390 #CONF: 0.8805786121110549"
"ASCEN_2 MODV_11 ==> CATL_1" " 266390 #CONF: 1.0"
"MODV_11 ==> ASCEN_2 CATL_1" " 266390 #CONF: 0.8805786121110549"
"CATL_1 MODV_32 ==> ASCEN_2" " 292788 #CONF: 0.8853262052783086"
"ASCEN_2 MODV_32 ==> CATL_1" " 292788 #CONF: 1.0"
"MODV_32 ==> ASCEN_2 CATL_1" " 292788 #CONF: 0.8853262052783086"
"CATL_1 MODV_40 ==> ASCEN_2" " 249522 #CONF: 0.8963745832854351"
"ASCEN_2 MODV_40 ==> CATL_1" " 249522 #CONF: 1.0"
"MODV_40 ==> ASCEN_2 CATL_1" " 249522 #CONF: 0.8963745832854351"
"ASCEN_2 NA38_ZZ ==> CATL_1" " 710636 #CONF: 1.0"
"ASCEN_2 NBPI_4 ==> CATL_1" " 304397 #CONF: 1.0"
"CATL_1 NBPI_5 ==> ASCEN_2" " 321517 #CONF: 0.9211333782177084"
"ASCEN_2 NBPI_5 ==> CATL_1" " 321517 #CONF: 1.0"
"NBPI_5 ==> ASCEN_2 CATL_1" " 321517 #CONF: 0.9211333782177084"
"ASCEN_2 NPERR_2 ==> CATL_1" " 364550 #CONF: 1.0"
"CATL_1 NPERR_3 ==> ASCEN_2" " 237222 #CONF: 0.8668683812405447"
"ASCEN_2 NPERR_3 ==> CATL_1" " 237222 #CONF: 1.0"
"NPERR_3 ==> ASCEN_2 CATL_1" " 237222 #CONF: 0.8668683812405447"
"CATL_1 NPERR_4 ==> ASCEN_2" " 251340 #CONF: 0.8901150271985494"
"ASCEN_2 NPERR_4 ==> CATL_1" " 251340 #CONF: 1.0"
"NPERR_4 ==> ASCEN_2 CATL_1" " 251340 #CONF: 0.8901150271985494"
"ASCEN_2 SANI_2 ==> CATL_1" " 1169411 #CONF: 1.0"
"ASCEN_2 CATL_1 ==> SANI_2" " 1169411 #CONF: 0.9713998775585813"
"ASCEN_2 ==> CATL_1 SANI_2" " 1169411 #CONF: 0.9713998775585813"
"ASCEN_2 SEXE_1 ==> CATL_1" " 588697 #CONF: 1.0"
"ASCEN_2 SEXE_2 ==> CATL_1" " 615144 #CONF: 1.0"
"CATL_1 STOCD_10 ==> ASCEN_2" " 743455 #CONF: 0.9315988381563878"
"ASCEN_2 STOCD_10 ==> CATL_1" " 743455 #CONF: 1.0"
"STOCD_10 ==> ASCEN_2 CATL_1" " 743455 #CONF: 0.9315988381563878"
"ASCEN_2 STOCD_21 ==> CATL_1" " 242701 #CONF: 1.0"
"ASCEN_2 SURF_5 ==> CATL_1" " 309425 #CONF: 1.0"
"CATL_1 SURF_6 ==> ASCEN_2" " 252286 #CONF: 0.9330345090294497"
"ASCEN_2 SURF_6 ==> CATL_1" " 252286 #CONF: 1.0"
"SURF_6 ==> ASCEN_2 CATL_1" " 252286 #CONF: 0.9330345090294497"
"CATL_1 SURF_7 ==> ASCEN_2" " 303980 #CONF: 0.9749166936603796"
"ASCEN_2 SURF_7 ==> CATL_1" " 303980 #CONF: 1.0"
"SURF_7 ==> ASCEN_2 CATL_1" " 303980 #CONF: 0.9749166936603796"
"ASCEN_2 TACT_11 ==> CATL_1" " 493205 #CONF: 1.0"
"ASCEN_2 TACT_21 ==> CATL_1" " 256136 #CONF: 1.0"
"CMBL_2 COUPLE_1 ==> ASCEN_2" " 261389 #CONF: 0.8520766575283522"
"ASCEN_2 CMBL_2 ==> INAT_11" " 478108 #CONF: 0.8711436005451617"
"ASCEN_2 CMBL_2 ==> SANI_2" " 533149 #CONF: 0.9714318511446209"
"CMBL_2 STOCD_10 ==> ASCEN_2" " 285816 #CONF: 0.9042549489209976"
"ASCEN_2 CMBL_4 ==> SANI_2" " 223595 #CONF: 0.9722493988529288"
"COUPLE_1 GARL_1 ==> ASCEN_2" " 470003 #CONF: 0.8931377057529103"
"COUPLE_1 INAT_11 ==> ASCEN_2" " 524554 #CONF: 0.8868034575857423"
"ASCEN_2 COUPLE_1 ==> INAT_11" " 524554 #CONF: 0.8694197945430256"
"COUPLE_1 MODV_32 ==> ASCEN_2" " 291269 #CONF: 0.8858411520506075"
"ASCEN_2 MODV_32 ==> COUPLE_1" " 291269 #CONF: 0.9948119458447751"
"MODV_32 ==> ASCEN_2 COUPLE_1" " 291269 #CONF: 0.8807330849802849"
"COUPLE_1 MODV_40 ==> ASCEN_2" " 247925 #CONF: 0.896703256957882"
"ASCEN_2 MODV_40 ==> COUPLE_1" " 247925 #CONF: 0.9935997627463711"
"MODV_40 ==> ASCEN_2 COUPLE_1" " 247925 #CONF: 0.8906375732842855"
"COUPLE_1 NA38_ZZ ==> ASCEN_2" " 259430 #CONF: 0.8545885174241451"
"COUPLE_1 NPERR_2 ==> ASCEN_2" " 290660 #CONF: 0.8638203529460714"
"COUPLE_1 SANI_2 ==> ASCEN_2" " 588946 #CONF: 0.8747285716407491"
"ASCEN_2 COUPLE_1 ==> SANI_2" " 588946 #CONF: 0.9761460408593524"
"COUPLE_1 SEXE_1 ==> ASCEN_2" " 302289 #CONF: 0.8671639008017901"
"COUPLE_1 SEXE_2 ==> ASCEN_2" " 301049 #CONF: 0.8698474980785567"
"COUPLE_1 STOCD_10 ==> ASCEN_2" " 429618 #CONF: 0.9424092727783238"
"COUPLE_1 TACT_11 ==> ASCEN_2" " 343908 #CONF: 0.8792992360322769"
"ASCEN_2 CS1_8 ==> COUPLE_2" " 327758 #CONF: 0.8562009378142919"
"ASCEN_2 COUPLE_2 ==> INAT_11" " 551305 #CONF: 0.9180720162930077"
"COUPLE_2 MODV_11 ==> ASCEN_2" " 265945 #CONF: 0.8805484368688373"
"ASCEN_2 MODV_11 ==> COUPLE_2" " 265945 #CONF: 0.9983295168737565"
"MODV_11 ==> ASCEN_2 COUPLE_2" " 265945 #CONF: 0.8791076203981925"
"ASCEN_2 COUPLE_2 ==> SANI_2" " 580465 #CONF: 0.9666313074206124"
"COUPLE_2 STOCD_10 ==> ASCEN_2" " 313837 #CONF: 0.9171961305783675"
"ASCEN_2 CS1_7 ==> INAT_11" " 229302 #CONF: 0.9005478645066274"
"ASCEN_2 CS1_7 ==> NA38_ZZ" " 254625 #CONF: 1.0"
"ASCEN_2 CS1_7 ==> SANI_2" " 247325 #CONF: 0.9713303878252332"
"ASCEN_2 TACT_21 ==> CS1_7" " 254625 #CONF: 0.9941007902052035"
"ASCEN_2 CS1_7 ==> TACT_21" " 254625 #CONF: 1.0"
"CS1_8 GARL_1 ==> ASCEN_2" " 254893 #CONF: 0.8738549408957517"
"ASCEN_2 CS1_8 ==> INAT_11" " 340988 #CONF: 0.8907616149214352"
"CS1_8 MODV_11 ==> ASCEN_2" " 228451 #CONF: 0.8739116796474531"
"ASCEN_2 MODV_11 ==> CS1_8" " 228451 #CONF: 0.8575809902774129"
"ASCEN_2 CS1_8 ==> NA38_ZZ" " 382805 #CONF: 1.0"
"ASCEN_2 CS1_8 ==> SANI_2" " 370653 #CONF: 0.9682553780645499"
"ASCEN_2 DIPL_15_A ==> SANI_2" " 305723 #CONF: 0.9614656452059275"
"DIPL_15_B INAT_11 ==> ASCEN_2" " 246418 #CONF: 0.8690429587622686"
"ASCEN_2 DIPL_15_B ==> INAT_11" " 246418 #CONF: 0.9186063850409316"
"DIPL_15_B SANI_2 ==> ASCEN_2" " 260446 #CONF: 0.8739945301095656"
"ASCEN_2 DIPL_15_B ==> SANI_2" " 260446 #CONF: 0.970900496548022"
"ASCEN_2 DIPL_15_D ==> SANI_2" " 237476 #CONF: 0.9812936203270207"
"GARL_1 INAT_11 ==> ASCEN_2" " 783421 #CONF: 0.8773953011219697"
"ASCEN_2 GARL_1 ==> INAT_11" " 783421 #CONF: 0.9138215004747452"
"GARL_1 MODV_32 ==> ASCEN_2" " 226034 #CONF: 0.91477668236932"
"GARL_1 NA38_ZZ ==> ASCEN_2" " 492016 #CONF: 0.8724105586614962"
"GARL_1 NBPI_5 ==> ASCEN_2" " 258788 #CONF: 0.9411088725807507"
"GARL_1 NPERR_2 ==> ASCEN_2" " 272520 #CONF: 0.8644129084645982"
"GARL_1 SANI_2 ==> ASCEN_2" " 839142 #CONF: 0.8710910047824042"
"ASCEN_2 GARL_1 ==> SANI_2" " 839142 #CONF: 0.9788172662608976"
"GARL_1 ==> ASCEN_2 SANI_2" " 839142 #CONF: 0.8515577114326885"
"GARL_1 SEXE_1 ==> ASCEN_2" " 422969 #CONF: 0.8762401363968768"
"GARL_1 SEXE_2 ==> ASCEN_2" " 434333 #CONF: 0.8639814923484865"
"GARL_1 STOCD_10 ==> ASCEN_2" " 619554 #CONF: 0.9350544684010831"
"GARL_1 SURF_5 ==> ASCEN_2" " 226677 #CONF: 0.8729324958698055"
"GARL_1 SURF_7 ==> ASCEN_2" " 266229 #CONF: 0.979344771265873"
"ASCEN_2 SURF_7 ==> GARL_1" " 266229 #CONF: 0.8758109086124087"
"SURF_7 ==> ASCEN_2 GARL_1" " 266229 #CONF: 0.8538426752961024"
"GARL_1 TACT_11 ==> ASCEN_2" " 365286 #CONF: 0.8667424373646033"
"ASCEN_2 GARL_2 ==> SANI_2" " 330269 #CONF: 0.9530500174583525"
"INAT_11 MODV_11 ==> ASCEN_2" " 249534 #CONF: 0.8957933960841752"
"ASCEN_2 MODV_11 ==> INAT_11" " 249534 #CONF: 0.9367243515146965"
"INAT_11 MODV_32 ==> ASCEN_2" " 245992 #CONF: 0.9163351362627211"
"INAT_11 MODV_40 ==> ASCEN_2" " 223943 #CONF: 0.9034987210625267"
"ASCEN_2 MODV_40 ==> INAT_11" " 223943 #CONF: 0.8974879970503603"
"ASCEN_2 NA38_ZZ ==> INAT_11" " 631186 #CONF: 0.8881987402833518"
"ASCEN_2 NBPI_4 ==> INAT_11" " 267466 #CONF: 0.8786748883858908"
"INAT_11 NBPI_5 ==> ASCEN_2" " 292282 #CONF: 0.9310122953430592"
"ASCEN_2 NBPI_5 ==> INAT_11" " 292282 #CONF: 0.9090716820572473"
"INAT_11 NPERR_2 ==> ASCEN_2" " 329523 #CONF: 0.8568943324101884"
"ASCEN_2 NPERR_2 ==> INAT_11" " 329523 #CONF: 0.9039171581401728"
"INAT_11 NPERR_4 ==> ASCEN_2" " 227582 #CONF: 0.9111516811197322"
"ASCEN_2 NPERR_4 ==> INAT_11" " 227582 #CONF: 0.9054746558446726"
"ASCEN_2 SANI_2 ==> INAT_11" " 1049023 #CONF: 0.8970524477707154"
"ASCEN_2 INAT_11 ==> SANI_2" " 1049023 #CONF: 0.9750562108975247"
"ASCEN_2 ==> INAT_11 SANI_2" " 1049023 #CONF: 0.8713966379280985"
"ASCEN_2 SEXE_1 ==> INAT_11" " 526490 #CONF: 0.8943310395670439"
"ASCEN_2 SEXE_2 ==> INAT_11" " 549369 #CONF: 0.8930738168623932"
"INAT_11 STOCD_10 ==> ASCEN_2" " 684718 #CONF: 0.93464865942118"
"ASCEN_2 STOCD_10 ==> INAT_11" " 684718 #CONF: 0.9209945457357877"
"STOCD_10 ==> ASCEN_2 INAT_11" " 684718 #CONF: 0.8579974487558298"
"INAT_11 SURF_5 ==> ASCEN_2" " 276519 #CONF: 0.8650707494783341"
"ASCEN_2 SURF_5 ==> INAT_11" " 276519 #CONF: 0.8936543588914923"
"INAT_11 SURF_6 ==> ASCEN_2" " 231694 #CONF: 0.9396263296847689"
"ASCEN_2 SURF_6 ==> INAT_11" " 231694 #CONF: 0.9183783483823914"
"SURF_6 ==> ASCEN_2 INAT_11" " 231694 #CONF: 0.8568786913862415"
"INAT_11 SURF_7 ==> ASCEN_2" " 282408 #CONF: 0.9766698714179987"
"ASCEN_2 SURF_7 ==> INAT_11" " 282408 #CONF: 0.9290348049213764"
"SURF_7 ==> ASCEN_2 INAT_11" " 282408 #CONF: 0.905731540309364"
"INAT_11 TACT_11 ==> ASCEN_2" " 444673 #CONF: 0.8541663065004715"
"ASCEN_2 TACT_11 ==> INAT_11" " 444673 #CONF: 0.9015987266957959"
"ASCEN_2 TACT_21 ==> INAT_11" " 230367 #CONF: 0.8993932910641221"
"MODV_11 NA38_ZZ ==> ASCEN_2" " 237668 #CONF: 0.8748246986288765"
"ASCEN_2 MODV_11 ==> NA38_ZZ" " 237668 #CONF: 0.8921806374113143"
"MODV_11 SANI_2 ==> ASCEN_2" " 259396 #CONF: 0.8843507728813097"
"ASCEN_2 MODV_11 ==> SANI_2" " 259396 #CONF: 0.9737452607079845"
"MODV_11 ==> ASCEN_2 SANI_2" " 259396 #CONF: 0.8574592502239543"
"MODV_32 SANI_2 ==> ASCEN_2" " 285770 #CONF: 0.8883562751022743"
"ASCEN_2 MODV_32 ==> SANI_2" " 285770 #CONF: 0.9760304384059456"
"MODV_32 ==> ASCEN_2 SANI_2" " 285770 #CONF: 0.8641053242700597"
"MODV_32 TACT_11 ==> ASCEN_2" " 221695 #CONF: 0.9046227797069397"
"MODV_40 NPERR_2 ==> ASCEN_2" " 242296 #CONF: 0.8955087076076994"
"ASCEN_2 MODV_40 ==> NPERR_2" " 242296 #CONF: 0.9710406296839558"
"MODV_40 ==> ASCEN_2 NPERR_2" " 242296 #CONF: 0.8704161397861824"
"MODV_40 SANI_2 ==> ASCEN_2" " 243963 #CONF: 0.8965404459862706"
"ASCEN_2 MODV_40 ==> SANI_2" " 243963 #CONF: 0.9777214033231538"
"MODV_40 ==> ASCEN_2 SANI_2" " 243963 #CONF: 0.8764046154730428"
"NA38_ZZ NPERR_2 ==> ASCEN_2" " 222389 #CONF: 0.8558821718314629"
"ASCEN_2 NA38_ZZ ==> SANI_2" " 687995 #CONF: 0.9681398071586579"
"NA38_ZZ STOCD_10 ==> ASCEN_2" " 428687 #CONF: 0.9305728612672846"
"ASCEN_2 TACT_21 ==> NA38_ZZ" " 256136 #CONF: 1.0"
