itemset support
"AGER20_39 ==> CATL_1" " 181949 #CONF: 0.9865209965570526"
"AGER20_39 ==> SANI_2" " 176535 #CONF: 0.9571664814162171"
"AGER20_54 ==> CATL_1" " 288112 #CONF: 0.9902287295286213"
"AGER20_54 ==> SANI_2" " 279411 #CONF: 0.9603237614064031"
"AGER20_64 ==> CATL_1" " 184542 #CONF: 0.9910902734142136"
"AGER20_64 ==> SANI_2" " 179577 #CONF: 0.9644255401421045"
"AGER20_79 ==> CATL_1" " 181263 #CONF: 0.9841622325985449"
"AGER20_79 ==> NA38_ZZ" " 178377 #CONF: 0.9684927788033445"
"AGER20_79 ==> SANI_2" " 176436 #CONF: 0.9579541752633294"
"ASCEN_1 ==> CATL_1" " 240453 #CONF: 1.0"
"ASCEN_1 ==> SANI_2" " 230836 #CONF: 0.9600046578749277"
"ASCEN_2 ==> CATL_1" " 1203841 #CONF: 1.0"
"CMBL_3 ==> ASCEN_2" " 174903 #CONF: 0.9505494505494505"
"CMBL_6 ==> ASCEN_2" " 201784 #CONF: 0.9679096673925766"
"NBPI_6 ==> ASCEN_2" " 175269 #CONF: 0.9726737442630957"
"ASCEN_2 ==> SANI_2" " 1169411 #CONF: 0.9713998775585813"
"SURF_7 ==> ASCEN_2" " 303980 #CONF: 0.9749166936603796"
"CMBL_2 ==> CATL_1" " 667604 #CONF: 1.0"
"CMBL_3 ==> CATL_1" " 184002 #CONF: 1.0"
"CMBL_4 ==> CATL_1" " 278231 #CONF: 1.0"
"CMBL_6 ==> CATL_1" " 208474 #CONF: 1.0"
"COUPLE_1 ==> CATL_1" " 691085 #CONF: 0.9948120669824915"
"COUPLE_2 ==> CATL_1" " 753209 #CONF: 0.9658135330247349"
"CS1_4 ==> CATL_1" " 163929 #CONF: 0.9964682997994043"
"CS1_5 ==> CATL_1" " 201139 #CONF: 0.9863719730479898"
"CS1_6 ==> CATL_1" " 179080 #CONF: 0.9902676399026764"
"CS1_7 ==> CATL_1" " 301118 #CONF: 0.9646734690608532"
"CS1_8 ==> CATL_1" " 469298 #CONF: 0.9726947885058614"
"DIPL_15_A ==> CATL_1" " 379117 #CONF: 0.959214344810835"
"DIPL_15_B ==> CATL_1" " 307210 #CONF: 0.986725251571418"
"DIPL_15_C ==> CATL_1" " 213942 #CONF: 0.977363782966418"
"DIPL_15_D ==> CATL_1" " 303906 #CONF: 0.989731615096773"
"DIPL_15_Z ==> CATL_1" " 240119 #CONF: 0.992132979097028"
"GARL_1 ==> CATL_1" " 985420 #CONF: 1.0"
"GARL_2 ==> CATL_1" " 458874 #CONF: 1.0"
"INAT_11 ==> CATL_1" " 1267347 #CONF: 0.9798440874056858"
"MODV_11 ==> CATL_1" " 302517 #CONF: 1.0"
"MODV_32 ==> CATL_1" " 330712 #CONF: 1.0"
"MODV_40 ==> CATL_1" " 278368 #CONF: 1.0"
"MODV_50 ==> CATL_1" " 177051 #CONF: 1.0"
"NA38_ZZ ==> CATL_1" " 863546 #CONF: 0.9721234390285363"
"NBPI_3 ==> CATL_1" " 260481 #CONF: 1.0"
"NBPI_4 ==> CATL_1" " 369621 #CONF: 1.0"
"NBPI_5 ==> CATL_1" " 349045 #CONF: 1.0"
"NBPI_6 ==> CATL_1" " 180193 #CONF: 1.0"
"NPERR_1 ==> CATL_1" " 259113 #CONF: 1.0"
"NPERR_2 ==> CATL_1" " 430122 #CONF: 1.0"
"NPERR_3 ==> CATL_1" " 273654 #CONF: 1.0"
"NPERR_4 ==> CATL_1" " 282368 #CONF: 1.0"
"SANI_2 ==> CATL_1" " 1400247 #CONF: 1.0"
"CATL_1 ==> SANI_2" " 1400247 #CONF: 0.9695027466706917"
"SEXE_1 ==> CATL_1" " 699291 #CONF: 0.9782044897548092"
"SEXE_2 ==> CATL_1" " 745003 #CONF: 0.9806709868669596"
"STOCD_10 ==> CATL_1" " 798042 #CONF: 1.0"
"STOCD_21 ==> CATL_1" " 315680 #CONF: 1.0"
"STOCD_22 ==> CATL_1" " 275480 #CONF: 1.0"
"SURF_4 ==> CATL_1" " 293805 #CONF: 1.0"
"SURF_5 ==> CATL_1" " 364384 #CONF: 1.0"
"SURF_6 ==> CATL_1" " 270393 #CONF: 1.0"
"SURF_7 ==> CATL_1" " 311801 #CONF: 1.0"
